Zipcode,Place Name,State,County,Lat,Lon,
46 35634,Florence,AL,Lauderdale,34.9186,-87.613,
38 79356,Post,TX,Garza,33.2017,-101.392,
41 56521,Callaway,MN,Becker,47.0076,-95.94,
41 38187,Memphis,TN,Shelby,35.2017,-89.971,
37 68455,Union,NE,Cass,40.8245,-95.903,
47 5406,Burlington,VT,Chittenden,44.4421,-73.082,
39 38866,Saltillo,MS,Lee,34.3831,-88.667,
47 1752,Marlborough,MA,Middlesex,42.3509,-71.543,
44 12440,High Falls,NY,Ulster,41.8167,-74.131,
52 19137,Philadelphia,PA,Philadelphia,40.0008,-75.072,
41 24093,Glen Lyn,VA,Giles,37.3669,-80.863,
46 47579,Santa Claus,IN,Spencer,38.1176,-86.928,
41 96162,Truckee,CA,Nevada,39.328,-120.183,
41 25025,Blount,WV,Kanawha,38.3121,-81.405,
41 77059,Houston,TX,Harris,29.5975,-95.113,
63 23464,Virginia Beach,VA,Virginia Beach (city),36.7978,-76.175,
42 19047,Langhorne,PA,Bucks,40.1813,-74.910,
40 30510,Alto,GA,Habersham,34.4591,-83.60,
45 96817,Honolulu,HI,Honolulu,21.3295,-157.861,
38 33957,Sanibel,FL,Lee,26.4514,-82.086,
47 24250,Fort Blackmore,VA,Scott,36.7438,-82.610,
40 18324,Bushkill,PA,Pike,41.1285,-75.013,
38 58703,Minot,ND,Ward,48.3306,-101.315,
47 92266,Palo Verde,CA,Imperial,33.3696,-114.735,
41 14141,Springville,NY,Erie,42.52,-78.684,
40 61940,Metcalf,IL,Edgar,39.8008,-87.795,
46 56186,Woodstock,MN,Pipestone,43.9873,-96.119,
43 93656,Riverdale,CA,Fresno,36.4295,-119.87,
42 14841,Hector,NY,Schuyler,42.4966,-76.878,
44 2806,Barrington,RI,Bristol,41.7443,-71.317,
58 20241,Washington,DC,District of Columbia,38.8933,-77.014,
44 58061,Mooreton,ND,Richland,46.2686,-96.876,
43 85610,Elfrida,AZ,Cochise,31.7139,-109.619,
45 15856,Rockton,PA,Clearfield,41.0806,-78.657,
46 12436,Haines Falls,NY,Greene,42.1955,-74.102,
45 25315,Charleston,WV,Kanawha,38.2351,-81.553,
41 23288,Henrico,VA,Henrico,37.4638,-77.39,
37 97377,Shedd,OR,Linn,44.453,-123.106,
45 80124,Lone Tree,CO,Douglas,39.5517,-104.886,
45 95490,Willits,CA,Mendocino,39.4493,-123.367,
41 93626,Friant,CA,Fresno,37.0422,-119.680,
43 72126,Perryville,AR,Perry,34.9701,-92.847,
52 19139,Philadelphia,PA,Philadelphia,39.9612,-75.230,
45 85619,Mount Lemmon,AZ,Pima,32.3763,-110.760,
46 95131,San Jose,CA,Santa Clara,37.3864,-121.8,
47 63032,Florissant,MO,St. Louis,38.6383,-90.427,
39 60602,Chicago,IL,Cook,41.8829,-87.632,
40 48244,Detroit,MI,Wayne,42.2399,-83.150,
43 11756,Levittown,NY,Nassau,40.7254,-73.516,
43 68665,Spalding,NE,Greeley,41.6874,-98.371,
74 94132,San Francisco,CA,City and County of San Francisco,37.7211,-122.475,
42 37317,Copperhill,TN,Polk,35.0207,-84.374,
44 8840,Metuchen,NJ,Middlesex,40.5449,-74.351,
47 24566,Keeling,VA,Pittsylvania,36.7156,-79.278,
40 78768,Austin,TX,Travis,30.2672,-97.743,
38 60119,Elburn,IL,Kane,41.8824,-88.461,
40 30006,Marietta,GA,Cobb,33.9526,-84.549,
37 41859,Dema,KY,Knott,37.3976,-82.783,
48 17847,Milton,PA,Northumberland,41.0168,-76.839,
41 92602,Irvine,CA,Orange,33.7419,-117.746,
45 6512,New Haven,CT,New Haven,41.3082,-72.928,
47 55418,Minneapolis,MN,Hennepin,45.0192,-93.240,
52 52066,North Buena Vista,IA,Clayton,42.6783,-90.951,
42 45033,Hooven,OH,Hamilton,39.1773,-84.762,
43 72419,Caraway,AR,Craighead,35.759,-90.335,
40 65570,Success,MO,Texas,37.4626,-92.090,
37 68735,Ewing,NE,Holt,42.1851,-98.398,
47 47854,Hillsdale,IN,Vermillion,39.7712,-87.404,
47 44444,Newton Falls,OH,Trumbull,41.191,-80.970,
44 81131,Crestone,CO,Saguache,37.953,-105.687,
41 93670,Yettem,CA,Tulare,36.4718,-119.259,
43 58758,Martin,ND,Sheridan,47.7781,-100.122,
40 97833,Haines,OR,Baker,44.8776,-117.975,
43 33158,Miami,FL,Miami-Dade,25.6364,-80.318,
44 55101,Saint Paul,MN,Ramsey,44.9512,-93.090,
40 98195,Seattle,WA,King,47.6564,-122.304,
43 52310,Monticello,IA,Jones,42.2326,-91.198,
43 31698,Valdosta,GA,Lowndes,30.8485,-83.287,
39 75439,Ector,TX,Fannin,33.5819,-96.273,
41 75041,Garland,TX,Dallas,32.8794,-96.641,
45 66937,Clifton,KS,Washington,39.6201,-97.261,
43 49088,Scotts,MI,Kalamazoo,42.1819,-85.468,
46 83116,Diamondville,WY,Lincoln,41.7839,-110.5,
41 27826,Fairfield,NC,Hyde,35.5659,-76.231,
38 72842,Havana,AR,Yell,35.0832,-93.595,
43 46350,La Porte,IN,LaPorte,41.5994,-86.707,
40 37729,Duff,TN,Campbell,36.5086,-84.045,
39 42444,Poole,KY,Webster,37.641,-87.643,
38 12405,Acra,NY,Greene,42.3304,-74.085,
45 11005,Floral Park,NY,Queens,40.7571,-73.718,
43 29342,Gaffney,SC,Cherokee,34.9963,-81.652,
42 45854,Lafayette,OH,Allen,40.7582,-83.949,
41 33913,Fort Myers,FL,Lee,26.5228,-81.706,
37 30161,Rome,GA,Floyd,34.2507,-85.146,
41 10960,Nyack,NY,Rockland,41.0914,-73.925,
37 31058,Mauk,GA,Taylor,32.509,-84.399,
